##VERSION=0.4.1
##SAMPLE=UnnamedSample
##READTYPE=UNKNOWN
##TIME=2024-08-15T06:53:09.441262039Z
##COMMAND=pbfusion discover --gtf /Reference/annotation.bin --output-prefix /dataset/pbfusion/pbfusion --threads 50 --min-coverage 1 -b /dataset/pbfusion/Hct116_ONT_cDNA_Q10.bam
##INFO=<ID=RC,Number=1,Type=Int,Description="Number of reads supporting breakpoints">
##INFO=<ID=MD,Number=1,Type=Float,Description="Mean breakpoint variability (bp)">
##INFO=<ID=GN,Number=List,Type=String,Description="Gene names in breakpoint cluster from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GI,Number=List,Type=String,Description="Gene IDs from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GC,Number=List,Type=Int,Description="Read support counts per gene name">
##INFO=<ID=CL,Number=1,Type=String,Description="Annotation of alignment classes [Fusion, ReadThrough, Unannotated, or SenseAntisense]">
##INFO=<ID=MQ,Number=2,Type=Float,Description="Phred-encoded mean map qualities for source and sink breakpoints, respectively; averaged in error probability space, not phred scores">
##INFO=<ID=MI,Number=2,Type=Float,Description="Mean alignment identity for the source and sink breakpoints, respectively">
##INFO=<ID=SA,Number=2,Type=Int,Description="Supplemental alignment counts for the source and sink">
##INFO=<ID=BP,Number=1,Type=Int,Description="Number of breakpoint pairs in cluster">
##INFO=<ID=EX,Number=2,Type=Int,Description="Counts of exonic breakpoints for the source and sink">
##INFO=<ID=IN,Number=2,Type=Int,Description="Counts of intronic breakpoints for the source and sink">
##INFO=<ID=AC,Number=List,Type=String,Description="Annotation of all breakpoints supported by reads in this cluster.">
##EXTRA=<ID=RN,Number=List,Type=String,Description="Names of reads contributing support">
##EXTRA=<ID=ON,Number=List,Type=String,Description="Names of reads contributing support if read clustering was used">
##EXTRA=<ID=CB,Number=List,Type=String,Description="Single cell barcodes contributing support">
#chr1	start1	end1	chr2	start2	end2	id	score	strand1	strand2	info	extra
KI270734.1	135543	135544	chr22	18911535	18911536	BP3035	MEDIUM	+	+	RC=1;MD=0;GN=ENSG00000278817,DGCR6;GI=ENSG00000278817.1,ENSG00000183628.14;GC=1,1;CL=FUSION:1;MQ=0,0;MI=0.871052,0.988372;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=KI270734.1:135543+/chr22:18911535+	RN=c5341bd3-7302-46a9-b324-342d7bb5539e-ccs;ON=.;CB=.
KI270734.1	136258	136259	chr22	20314818	20314819	BP3038	MEDIUM	+	-	RC=2;MD=11;GN=DGCR6L,ENSG00000278817;GI=ENSG00000128185.10,ENSG00000278817.1;GC=2,2;CL=FUSION:2;MQ=3.89369,60;MI=0.875951,0.966454;SA=2,0;BP=2;EX=2,2;IN=0,0;AC=KI270734.1:136258+/chr22:20314818-,chr22:20316116-/KI270734.1:136160+,chr22:20319637-/KI270734.1:136183+	RN=2c4be649-ab68-45be-a3af-d7aecefb562c-ccs,c0012701-1aaa-433e-bd75-0fc241ee8634-ccs;ON=.;CB=.
chr1	16605	16606	chrY	57210643	57210644	BP104	MEDIUM	-	+	RC=1;MD=0;GN=ENSG00000290823,WASH7P,WASH6P;GI=ENSG00000290823.1,ENSG00000227232.5,ENSG00000292372.1;GC=1,1,1;CL=FUSION:1;MQ=3.67834,0;MI=0.932122,0.938931;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:16605-/chrY:57210643+,chr15:101973049+/chr1:16767-	RN=461ab933-dd15-4093-a33d-5523d270b5b9-ccs;ON=.;CB=.
chr1	16904	16905	chr15	101976164	101976165	BP86	MEDIUM	-	+	RC=1;MD=0;GN=WASH5P,WASH7P,ENSG00000290823;GI=ENSG00000282458.1,ENSG00000227232.5,ENSG00000290823.1;GC=1,1,1;CL=FUSION:1;MQ=1,1;MI=0.94752,0.890585;SA=1,0;BP=1;EX=1,0;IN=0,0;AC=chr1:16904-/chr15:101976164+,chr19:66344-/chr1:17061-	RN=4811f3de-989f-475e-89d7-bf4bd9029ab7-ccs;ON=.;CB=.
chr1	186315	186316	chr15	101976130	101976131	BP88	MEDIUM	-	+	RC=1;MD=0;GN=N/A,WASH9P,ENSG00000290823;GI=N/A,ENSG00000279457.4,ENSG00000290823.1;GC=1,1,1;CL=FUSION:1;MQ=2.74458,60;MI=0.961905,0.925837;SA=1,0;BP=1;EX=1,0;IN=0,0;AC=chr1:186315-/chr15:101976130+,chr1:186452+/chr1:186461-	RN=7a7b6151-bd7e-4673-9c2a-9f4fec9aff8f-ccs;ON=.;CB=.
chr1	187751	187752	chr9	14796	14797	BP76	MEDIUM	-	-	RC=1;MD=0;GN=WASH9P,WASHC1;GI=ENSG00000279457.4,ENSG00000181404.18;GC=1,1;CL=FUSION:1;MQ=1,34;MI=0.988134,0.977941;SA=0,1;BP=1;EX=1,1;IN=0,0;AC=chr1:187751-/chr9:14796-	RN=b5ea96d4-3c0f-4cc8-83d1-898fd6bc67e1-ccs;ON=.;CB=.
GL000195.1	48952	48953	chr21	7085249	7085250	BP2686	MEDIUM	-	+	RC=1;MD=0;GN=ENSG00000276077,N/A,ENSG00000276256,ENSG00000277067;GI=ENSG00000276077.4,N/A,ENSG00000276256.1,ENSG00000277067.4;GC=1,1,1,1;CL=FUSION:1;MQ=5.58333,0;MI=0.996008,0.966805;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=GL000195.1:48952-/chr21:7085249+,GL000195.1:84142-/GL000195.1:49118-,chr21:7430826+/GL000195.1:84241-	RN=1bdb26c6-2f7d-42ce-8182-59a5f64c059a-ccs;ON=.;CB=.
GL000195.1	48952	48953	chr21	7467019	7467020	BP2687	MEDIUM	-	+	RC=2;MD=43.8;GN=ENSG00000274333,ENSG00000276256,ENSG00000276077;GI=ENSG00000274333.4,ENSG00000276256.1,ENSG00000276077.4;GC=1,2,2;CL=FUSION:2;MQ=5.7668,0;MI=0.930484,0.87306;SA=2,0;BP=2;EX=2,2;IN=0,0;AC=GL000195.1:48952-/chr21:7467019+,chr21:5553838+/GL000195.1:49120-	RN=ce3500f1-256c-41ad-b7be-67c6184c1f39-ccs,61c4e0fd-ad6a-44d6-8f09-4d4ea67da8bd-ccs;ON=.;CB=.
GL000195.1	48953	48954	chr21	6229227	6229228	BP2686	MEDIUM	-	-	RC=1;MD=0;GN=ENSG00000276077,ENSG00000276256,ENSG00000275496;GI=ENSG00000276077.4,ENSG00000276256.1,ENSG00000275496.4;GC=1,1,1;CL=FUSION:1;MQ=4.01029,0;MI=0.995833,0.991071;SA=0,1;BP=1;EX=1,1;IN=0,0;AC=GL000195.1:48953-/chr21:6229227-,chr21:7430836+/GL000195.1:49113-	RN=40ba9ff9-2a3e-43ed-b3cb-8df3c731ce87-ccs;ON=.;CB=.
GL000195.1	48953	48954	chr21	7669658	7669659	BP2687	MEDIUM	-	-	RC=1;MD=0;GN=N/A,ENSG00000276256,ENSG00000277991;GI=N/A,ENSG00000276256.1,ENSG00000277991.4;GC=1,1,1;CL=FUSION:1;MQ=10.0103,1;MI=0.960843,0.969466;SA=0,1;BP=1;EX=1,1;IN=0,0;AC=GL000195.1:48953-/chr21:7669658-,GL000205.2:140570-/GL000195.1:49098-	RN=8030122c-1077-4287-8f7a-f4ce90b84155-ccs;ON=.;CB=.
GL000195.1	48955	48956	chr21	7671383	7671384	BP2688	MEDIUM	-	-	RC=2;MD=0;GN=ENSG00000274333,ENSG00000276256,ENSG00000277991,N/A;GI=ENSG00000274333.4,ENSG00000276256.1,ENSG00000277991.4,N/A;GC=2,2,2,1;CL=FUSION:2;MQ=3.84217,3.0103;MI=0.982798,0.943091;SA=2,0;BP=2;EX=2,2;IN=0,0;AC=GL000195.1:48955-/chr21:7671383-,chr21:7669395-/chr5:103033070-,chr21:5553838+/GL000195.1:49120-,chr5:103032435-/chr19:38619226-	RN=197e1168-f44e-48ab-ab40-de6620205780-ccs,7e11a631-ad96-401f-91cf-c022c3c44678-ccs;ON=.;CB=.
GL000195.1	48955	48956	chr21	5590014	5590015	BP2685	MEDIUM	-	+	RC=2;MD=9;GN=N/A,ENSG00000276256,ENSG00000274333;GI=N/A,ENSG00000276256.1,ENSG00000274333.4;GC=1,2,2;CL=FUSION:2;MQ=2.75658,0;MI=0.953588,0.942351;SA=2,0;BP=2;EX=2,2;IN=0,0;AC=GL000195.1:48955-/chr21:5590014+,GL000195.1:86515-/GL000195.1:49120-	RN=7fc0ad1d-8ff9-4174-8fa5-fb7ba0f79b31-ccs,5d71b2f9-4157-4969-82b0-f8f3ae0db415-ccs;ON=.;CB=.
GL000219.1	79935	79936	chr4	189961820	189961821	BP2745	MEDIUM	-	+	RC=14;MD=0.536;GN=FRG1,ENSG00000273748;GI=ENSG00000109536.12,ENSG00000273748.1;GC=14,14;CL=PotentialTransSplicing:14;MQ=4.36469,18.2437;MI=0.98048,0.981317;SA=14,13;BP=14;EX=14,14;IN=0,0;AC=GL000219.1:79935-/chr4:189961820+,chr4:189941052+/GL000219.1:80029-,chr4:189952286+/GL000219.1:80029-,chr4:189955151+/GL000219.1:80029-,chr4:189957501+/GL000219.1:80027-	RN=94e2337b-eacc-4c62-92a2-0ee1e56f43ad-ccs,e596449c-2e01-4e20-9243-752ca96e412b-ccs,490e6e65-4ca5-4c0b-9a90-22ea758e1458-ccs,1eb439f1-724b-4caa-bc1a-6308fe2ddae1-ccs,351fac92-c6de-4235-a442-bbe1eb9c3a57-ccs,a511a098-723d-4887-831d-25a9697aa4b1-ccs,6f88250d-0541-4ff7-84ab-0ef084144845-ccs,bd21390b-736a-4bc7-820c-a367ba5c1e74-ccs,07c86b10-67b1-4e65-9c45-c33fe74ed0a3-ccs,e6bd09bc-c183-4500-ac02-effb6be2071b-ccs,56a76205-e178-4624-bf15-f983bf8c5ed0-ccs,0b19ae35-2532-4b8e-8f92-30e4f7d38a14-ccs,c1625266-65df-46c4-9244-bc734b08761a-ccs,66ab6d98-f2e8-4bbb-b9bd-57e19fd5c2f3-ccs;ON=.;CB=.
chr1	26985914	26985915	chr4	108667245	108667246	BP169	MEDIUM	-	+	RC=54;MD=55.8;GN=OSTCP2,OSTC;GI=ENSG00000225294.1,ENSG00000198856.13;GC=54,54;CL=PotentialTransSplicing:54;MQ=12.6084,17.0171;MI=0.869387,0.902402;SA=42,12;BP=54;EX=54,54;IN=0,0;AC=chr1:26985914-/chr4:108667245+,chr4:108650690+/chr1:26986303-	RN=e9b8f0d3-52ab-42aa-b28b-85622bff6e2c-ccs,997c3e2a-c470-4cd5-8a36-83046341f7dd-ccs,8cfc67d0-77e5-4ffa-9336-81a68d82df94-ccs,7e58980e-2f6e-4c3f-909c-797875c2b3e0-ccs,9345b428-982f-43ec-a5d1-c2570e7d9118-ccs,60443a50-7e95-45d0-bea3-6ed356578b36-ccs,92863170-e24a-47b3-a6fc-8b8ec3c059b9-ccs,cfb94f93-0715-4670-a31c-a871670fa1cb-ccs,58485ad1-d919-4468-b878-8fcfcfc4991b-ccs,286754c8-27f3-4e34-8966-9e66ef6f7120-ccs,05e61faa-e204-4b40-9818-75f2100ef06f-ccs,35ed2843-38db-41e5-87b0-daaf9938e902-ccs,e09e828c-df58-4821-8b46-52ef806d188c-ccs,5f3f4dff-120f-4848-8b70-6dd2093dacd1-ccs,15b95645-65b8-44d8-b1e2-04a7282d1f0c-ccs,f1f4ea3a-93b4-4a3f-b06f-a490d73fec53-ccs,139ea443-fec6-4f73-8590-0d5588e33508-ccs,8d9cec92-0ca1-4948-bae3-8416887c270d-ccs,c59c81a1-bdc9-4c76-9695-760800dc62c5-ccs,8f825479-b157-4bed-91f3-bbb9ae9807b0-ccs,420eddc7-e769-4a79-8c01-acd76af3a480-ccs,68cfb1a0-90bd-4070-883a-4adc75483ebe-ccs,0927d710-69cf-4ed8-af6c-f05da02de675-ccs,57348876-a26f-4a5e-a14a-f79bd842b71e-ccs,9b53cbe8-f295-460e-8ce7-cacd978f55dc-ccs,95995273-5016-4e57-af01-39560af530a2-ccs,c7414376-a7b6-468c-bf76-ec2712884597-ccs,db036cd1-9ead-4b01-91aa-5d5b7a19936e-ccs,d836986a-ccbe-4263-9872-40f2caa2ccf0-ccs,9ec8dede-dc93-44d7-ad31-13201be343c2-ccs,92afe9b8-3718-4bb5-87a9-bc0a1a7aa86c-ccs,33d84f29-b3c3-4643-843f-12283f83163c-ccs,ea29d2de-932e-4635-82bd-fea14139c608-ccs,8856093e-47dc-4a8a-8ae1-732a6677b594-ccs,d8114b35-ffce-45be-82db-c56ee9c38db4-ccs,4b11bc10-efa1-4641-8564-928da7d04dd6-ccs,354b2b4c-72e9-477f-8c9c-6547a077bf0b-ccs,c33dc3e0-c751-4963-9c7e-a653162478b0-ccs,62dddb3f-c8f2-474a-b024-b4ca6132d8f3-ccs,d730654f-ac3b-45df-a39c-e89d7d074cca-ccs,6ea87586-b948-4a95-9a96-d687d93f99a5-ccs,39687f6b-17fe-4aa3-86db-6e4764a749fb-ccs,188fb9a9-9546-4875-85d5-fa65324f3175-ccs,ffd79203-1139-4e4d-827a-b050aa629472-ccs,4a9a8eea-4635-4053-ad4a-b00244efcd47-ccs,9b1e37c0-a86b-4c6b-b4f0-ea36fd1bbd1e-ccs,83021f90-5fec-4d64-8127-980fbc215375-ccs,4e7ab430-2565-4c9f-8c44-a1d4226d9d5d-ccs,80369621-d97c-4ffe-b1a7-853533506abd-ccs,4ffabb9f-6657-43ed-9352-2b65ba75d5aa-ccs,786e0f03-259c-4e97-ab49-219c46296c7c-ccs,b210ac5d-dc1e-48a6-b743-0c185a43131d-ccs,5251bc5d-81a2-41f3-a2e0-8da4a4239dd0-ccs,fb967311-6153-4ecc-bcdd-a03438402c87-ccs;ON=.;CB=.
chr1	27200045	27200046	chr15	52192525	52192526	BP180	MEDIUM	-	-	RC=1;MD=0;GN=NUP62,CHCHD3P3,MYO5C;GI=ENSG00000213024.13,ENSG00000214973.3,ENSG00000128833.13;GC=1,1,1;CL=FUSION:1;MQ=60,60;MI=0.940845,0.971154;SA=1,1;BP=1;EX=0,1;IN=0,0;AC=chr1:27200045-/chr15:52192525-,chr19:49906823-/chr1:27201593-	RN=ba8e6261-eb6b-439d-beaf-2070cab2aeea-ccs;ON=.;CB=.
chr1	27200045	27200046	chr19	12875377	12875378	BP280	MEDIUM	-	-	RC=1;MD=0;GN=CHCHD3P3,DNASE2;GI=ENSG00000214973.3,ENSG00000105612.10;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.921348,0.892473;SA=0,1;BP=1;EX=1,1;IN=0,0;AC=chr1:27200045-/chr19:12875377-	RN=8f81e3e8-46cb-418a-9d71-dc2558cc8faf-ccs;ON=.;CB=.
chr1	27404224	27404225	chr11	33717471	33717472	BP288	MEDIUM	-	-	RC=1;MD=0;GN=WASF2,CD59;GI=ENSG00000158195.11,ENSG00000085063.18;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.985075,0.997135;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:27404224-/chr11:33717471-	RN=8a19bbbc-3aac-478b-8294-79dd67c96f4b-ccs;ON=.;CB=.
chr1	27490081	27490082	chrX	47803154	47803155	BP203	MEDIUM	-	+	RC=4;MD=32.6;GN=WASF2,WASF4P;GI=ENSG00000158195.11,ENSG00000188459.4;GC=4,4;CL=FUSION:4;MQ=48.7681,60;MI=0.943882,0.919327;SA=4,0;BP=4;EX=4,4;IN=0,0;AC=chr1:27490081-/chrX:47803154+	RN=55da562e-f98d-4aa2-ad88-9f69bb510dca-ccs,bd4ec6bc-5474-4e21-9739-0e66b53bd6ea-ccs,e6ea11d8-ed81-4484-a6c5-a0daab2180a7-ccs,8980a209-bb19-4674-8119-a3499bfa4ea1-ccs;ON=.;CB=.
chr1	10430433	10430434	chr8	22624362	22624363	BP90	MEDIUM	-	-	RC=1;MD=0;GN=N/A,ENSG00000271989,BIN3;GI=N/A,ENSG00000271989.1,ENSG00000147439.14;GC=1,1,1;CL=FUSION:1;MQ=60,60;MI=0.978213,0.985408;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:10430433-/chr8:22624362-,chr1:10433837-/chr1:10430564-	RN=8a70e090-8fed-43f2-8b34-678eedfe4af6-ccs;ON=.;CB=.
chr1	11278749	11278750	chr8	48060689	48060690	BP104	MEDIUM	-	+	RC=1;MD=0;GN=UBE2V2,UBE2V2P3;GI=ENSG00000169139.12,ENSG00000238199.1;GC=1,1;CL=FUSION:1;MQ=60,31;MI=0.90312,0.862595;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:11278749-/chr8:48060689+,chr8:48043180+/chr1:11278848-	RN=f893185a-baf1-4dc2-b57b-08e727c77236-ccs;ON=.;CB=.
chr1	43850465	43850466	chr17	18328920	18328921	BP368	MEDIUM	-	-	RC=27;MD=33.1;GN=SHMT1P1,SHMT1;GI=ENSG00000224751.2,ENSG00000176974.21;GC=27,27;CL=PotentialTransSplicing:27;MQ=41.3428,60;MI=0.851599,0.93136;SA=24,3;BP=27;EX=5,27;IN=0,0;AC=chr1:43850465-/chr17:18328920-,chr17:18347526-/chr1:43850994-,chr17:18360411-/chr1:43851726-,chr17:18363369-/chr1:43851726-	RN=f0d96764-b870-4919-bb35-69e1d608b684-ccs,0eec1b61-ebbd-4e28-8788-93d895228caa-ccs,fa8b1d3b-ec80-4bd3-9052-2446b6e52e2a-ccs,732e7622-2524-48ac-90a5-26d3a8ed6ca4-ccs,6025c80e-dbfa-4e77-afd9-d8fd9070935c-ccs,b40d9216-3c0c-4e39-b5b7-9010ac4cc621-ccs,bd069ae5-485c-4580-8449-bb86bb41a8e8-ccs,486cc246-3dba-443f-a92e-55aa4e60296a-ccs,f9371117-06fd-49e3-a707-a343e35ba17d-ccs,1dfca0ff-18f2-4942-aca2-595ac2e1bdb0-ccs,56600b9b-2133-4726-9cc7-0c80548f0a68-ccs,880f3158-3765-4ddb-ba0b-d27af461bc95-ccs,ccdf1844-a6a2-4157-b1e2-2694c4862d4c-ccs,0f8c7418-bb0b-4499-8226-a3c9df75dfd6-ccs,17bd1e5a-d7fd-4d5d-9930-16d73f5d5f4c-ccs,3047393e-f696-4f42-9b27-302e690a927a-ccs,ef557120-3f2d-40b9-8b68-39fa4d58ab77-ccs,34addea1-ebef-4012-9ee6-efed579373af-ccs,fb909822-c48f-4b06-8860-cc4d36bd603f-ccs,c696c544-079d-4159-b86f-cee18856418e-ccs,9be6174a-3d71-431f-b263-f3e2fc486e27-ccs,40f7a022-628e-470b-8155-786403d20832-ccs,2f21407f-af91-4437-9689-d37e55de6492-ccs,ed51b682-5f20-447a-ab56-80ffe8a28094-ccs,18599ace-d3c0-41e9-9f1d-b8139ad722ea-ccs,0965560a-cd53-45fc-9618-cf41344be2eb-ccs,d6496fb8-6a22-4a42-a46e-3fa4b8fccf9a-ccs;ON=.;CB=.
chr1	36136570	36136571	chr6	25024459	25024460	BP315	MEDIUM	-	-	RC=1;MD=0;GN=TRAPPC3,ASS1P1;GI=ENSG00000054116.12,ENSG00000220517.2;GC=1,1;CL=FUSION:1;MQ=60,1;MI=0.967387,0.883895;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr1:36136570-/chr6:25024459-	RN=59581383-323d-47b5-af81-56797e211dea-ccs;ON=.;CB=.
chr1	36137085	36137086	chr1	78004938	78004939	BP600	MEDIUM	-	+	RC=1;MD=0;GN=TRAPPC3,DNAJB4;GI=ENSG00000054116.12,ENSG00000162616.9;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.949048,0.902513;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:36137085-/chr1:78004938+	RN=8f21eae9-9b2f-4316-b5c0-e397dd55c98d-ccs;ON=.;CB=.
