##VERSION=0.4.1
##SAMPLE=UnnamedSample
##READTYPE=UNKNOWN
##TIME=2024-08-16T00:11:48.379522685Z
##COMMAND=pbfusion discover --gtf /Reference/annotation.bin --output-prefix /dataset/pbfusion/pbfusion --threads 50 --min-coverage 1 -b /dataset/pbfusion/Hct116_ONT_dcDNA_Q10.bam
##INFO=<ID=RC,Number=1,Type=Int,Description="Number of reads supporting breakpoints">
##INFO=<ID=MD,Number=1,Type=Float,Description="Mean breakpoint variability (bp)">
##INFO=<ID=GN,Number=List,Type=String,Description="Gene names in breakpoint cluster from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GI,Number=List,Type=String,Description="Gene IDs from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GC,Number=List,Type=Int,Description="Read support counts per gene name">
##INFO=<ID=CL,Number=1,Type=String,Description="Annotation of alignment classes [Fusion, ReadThrough, Unannotated, or SenseAntisense]">
##INFO=<ID=MQ,Number=2,Type=Float,Description="Phred-encoded mean map qualities for source and sink breakpoints, respectively; averaged in error probability space, not phred scores">
##INFO=<ID=MI,Number=2,Type=Float,Description="Mean alignment identity for the source and sink breakpoints, respectively">
##INFO=<ID=SA,Number=2,Type=Int,Description="Supplemental alignment counts for the source and sink">
##INFO=<ID=BP,Number=1,Type=Int,Description="Number of breakpoint pairs in cluster">
##INFO=<ID=EX,Number=2,Type=Int,Description="Counts of exonic breakpoints for the source and sink">
##INFO=<ID=IN,Number=2,Type=Int,Description="Counts of intronic breakpoints for the source and sink">
##INFO=<ID=AC,Number=List,Type=String,Description="Annotation of all breakpoints supported by reads in this cluster.">
##EXTRA=<ID=RN,Number=List,Type=String,Description="Names of reads contributing support">
##EXTRA=<ID=ON,Number=List,Type=String,Description="Names of reads contributing support if read clustering was used">
##EXTRA=<ID=CB,Number=List,Type=String,Description="Single cell barcodes contributing support">
#chr1	start1	end1	chr2	start2	end2	id	score	strand1	strand2	info	extra
chr1	1311327	1311328	chr1	1310903	1310904	BP77	MEDIUM	-	+	RC=2;MD=111;GN=INTS11,PUSL1;GI=ENSG00000127054.22,ENSG00000169972.13;GC=2,2;CL=SenseAntisense:2;MQ=60,60;MI=0.921517,0.942879;SA=1,1;BP=2;EX=2,2;IN=0,0;AC=chr1:1311327-/chr1:1310903+	RN=bd4741bf-17c8-46cd-a496-75ba632e1bde-ccs,40cd4fd3-fc52-4fe6-aa2f-21177d8ba977-ccs;ON=.;CB=.
chr1	1401434	1401435	chr1	1401146	1401147	BP80	MEDIUM	-	+	RC=2;MD=142;GN=MRPL20,MRPL20-AS1;GI=ENSG00000242485.6,ENSG00000224870.9;GC=2,2;CL=SenseAntisense:2;MQ=60,60;MI=0.927983,0.945019;SA=0,2;BP=2;EX=2,2;IN=0,0;AC=chr1:1401434-/chr1:1401146+	RN=99797b34-54b7-4009-ba83-2f9b6a689b91-ccs,ee3c11d7-d5fc-4105-b19e-6fe9c444f473-ccs;ON=.;CB=.
chr1	1541671	1541672	chr1	171557737	171557738	BP98	MEDIUM	-	+	RC=1;MD=0;GN=SSU72,PRRC2C;GI=ENSG00000160075.12,ENSG00000117523.18;GC=1,1;CL=FUSION:1;MQ=55.5754,60;MI=0.941709,0.936571;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr1:1541671-/chr1:171557737+	RN=5aa49fb6-ee41-4f63-85ea-54f81b2bf5e5-ccs;ON=.;CB=.
chr1	1641660	1641661	chr1	1705028	1705029	BP63	MEDIUM	-	-	RC=1;MD=0;GN=N/A,CDK11A,CDK11B;GI=N/A,ENSG00000008128.23,ENSG00000248333.9;GC=1,1,1;CL=FUSION:1;MQ=3.00068,36;MI=0.851825,0.92619;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:1641660-/chr1:1705028-,chr1:1722717-/chr1:1642001-,chr1:1716477+/chr1:1722831-	RN=76e8b10d-31ac-4ba0-93b5-6c9c895e509b-ccs;ON=.;CB=.
chr1	1702447	1702448	chr20	57351259	57351260	BP92	MEDIUM	-	+	RC=1;MD=0;GN=CDK11A,RAE1;GI=ENSG00000008128.23,ENSG00000101146.13;GC=1,1;CL=FUSION:1;MQ=0,38.9623;MI=0.956522,0.944088;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:1702447-/chr20:57351259+	RN=7ec328cf-9ade-4cc5-be64-eb62d5e6ba7b-ccs;ON=.;CB=.
GL000195.1	48952	48953	chr21	7085241	7085242	BP2409	MEDIUM	-	+	RC=3;MD=6.67;GN=N/A,ENSG00000276256,ENSG00000277067;GI=N/A,ENSG00000276256.1,ENSG00000277067.4;GC=1,3,3;CL=FUSION:3;MQ=3.6481,0.308438;MI=0.935161,0.934972;SA=3,1;BP=3;EX=3,3;IN=0,0;AC=GL000195.1:48952-/chr21:7085241+,chr21:6267134-/GL000195.1:49119-,chr21:7081047-/GL000195.1:49105-,chr21:7671383+/chr21:7081190-	RN=b0409710-bc0c-4aac-9918-0ab0475d679d-ccs,0ab21183-6588-496f-9d34-3bbdd5dc5d67-ccs,5a1b5dff-2d8a-44c9-8dff-7268e432216f-ccs;ON=.;CB=.
KI270711.1	10926	10927	chr1	149538702	149538703	BP2475	MEDIUM	-	+	RC=1;MD=0;GN=N/A,ENSG00000271254,NBPF19;GI=N/A,ENSG00000271254.7,ENSG00000271383.9;GC=1,1,1;CL=FUSION:1;MQ=3.15383,1;MI=0.946832,0.907143;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270711.1:10926-/chr1:149538702+,KI270711.1:7993+/chr1:145386784+,chr1:120834624-/chr1:16567177+,chr1:16567347+/KI270711.1:7815+,chr1:146126390+/KI270711.1:11040-	RN=58fe6193-a8fc-4e62-bf6c-8c88ebd713ef-ccs;ON=.;CB=.
KI270711.1	22931	22932	chr1	148117784	148117785	BP2479	MEDIUM	-	-	RC=1;MD=0;GN=ENSG00000271254,NBPF11,NBPF1;GI=ENSG00000271254.7,ENSG00000263956.8,ENSG00000219481.11;GC=1,1,1;CL=FUSION:1;MQ=12,1.88318;MI=0.949541,0.952937;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270711.1:22931-/chr1:148117784-,chr1:16569070-/KI270711.1:11086-,chr1:148117594-/chr1:16574693-	RN=af13ba6b-4640-43ed-b59c-5889b7f5bad2-ccs;ON=.;CB=.
KI270721.1	6209	6210	chr11	1956253	1956254	BP2485	MEDIUM	+	+	RC=2;MD=1.5;GN=N/A,ENSG00000276345,MRPL23;GI=N/A,ENSG00000276345.1,ENSG00000214026.11;GC=1,2,2;CL=FUSION:2;MQ=4.7712,16.5964;MI=0.950727,0.945691;SA=2,1;BP=2;EX=2,2;IN=0,0;AC=KI270721.1:6209+/chr11:1956253+,chr6:99383824+/KI270721.1:6095+	RN=7b6bb5c5-e52e-4a88-97bf-7740a145cc9e-ccs,ae407002-85db-44b8-81bb-08f15262bd4f-ccs;ON=.;CB=.
KI270727.1	20461	20462	chr3	196829202	196829203	BP2494	MEDIUM	-	+	RC=1;MD=0;GN=N/A,ENSG00000278673,PAK2;GI=N/A,ENSG00000278673.1,ENSG00000180370.10;GC=1,1,1;CL=FUSION:1;MQ=1.76091,27;MI=0.899975,0.888454;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=KI270727.1:20461-/chr3:196829202+,KI270727.1:21382+/KI270727.1:21262-,chr3:196829203-/KI270727.1:20436+	RN=77fa1221-ffcd-40ca-8a07-b519eebfffc7-ccs;ON=.;CB=.
chr1	35397402	35397403	chr1	35397375	35397376	BP804	MEDIUM	-	+	RC=1;MD=0;GN=N/A,KIAA0319L,ZMYM4;GI=N/A,ENSG00000142687.19,ENSG00000146463.12;GC=1,1,1;CL=SenseAntisense:1;MQ=53.8104,59.1756;MI=0.942336,0.943268;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:35397402-/chr1:35397375+,chr1:35398860-/chr1:35397533-	RN=61971476-e4c7-4e18-b61e-57ec22ddd511-ccs;ON=.;CB=.
chr1	35603140	35603141	chr14	30893908	30893909	BP92	MEDIUM	-	+	RC=1;MD=0;GN=PSMB2,COCH;GI=ENSG00000126067.12,ENSG00000100473.18;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.960613,0.929725;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr1:35603140-/chr14:30893908+	RN=5c6e6da2-1b44-4c44-a49a-6b7cbc734d5a-ccs;ON=.;CB=.
chr1	35603141	35603142	chr8	61578854	61578855	BP74	MEDIUM	-	+	RC=1;MD=0;GN=PSMB2,KRT8P3;GI=ENSG00000126067.12,ENSG00000254285.3;GC=1,1;CL=FUSION:1;MQ=33.7643,60;MI=0.957018,0.896455;SA=1,0;BP=1;EX=1,0;IN=0,0;AC=chr1:35603141-/chr8:61578854+	RN=831f4ae0-7cac-42e1-932f-ffcbf6e9a945-ccs;ON=.;CB=.
chr1	35735008	35735009	chr17	62612781	62612782	BP114	MEDIUM	-	+	RC=1;MD=0;GN=N/A,CLSPN,TLK2;GI=N/A,ENSG00000092853.14,ENSG00000146872.19;GC=1,1,1;CL=FUSION:1;MQ=43.9002,60;MI=0.908722,0.934688;SA=0,1;BP=1;EX=1,1;IN=0,0;AC=chr1:35735008-/chr17:62612781+,chr17:34036912+/chr1:35764524-	RN=c9e60027-bf8f-4bfe-9fea-da42bb553da1-ccs;ON=.;CB=.
chr1	37513421	37513422	chr2	209178808	209178809	BP84	MEDIUM	-	+	RC=4;MD=5;GN=MEAF6,MEAF6P1;GI=ENSG00000163875.16,ENSG00000240286.1;GC=4,4;CL=FUSION:4;MQ=42.0847,23.147;MI=0.971509,0.916087;SA=4,4;BP=4;EX=4,4;IN=0,0;AC=chr1:37513421-/chr2:209178808+,chr2:209178907+/chr1:37494106-,chr2:209178943+/chr1:37501995-	RN=0813fb42-27f6-4fde-b7b1-fdbfd301a8db-ccs,0b3237e4-60cd-4490-9b37-13469e9c94f2-ccs,e462b7cb-44a2-44c8-841c-4612f9bafdec-ccs,8c37c66b-7500-4f72-98da-751eee72e37e-ccs;ON=.;CB=.
chr1	37514656	37514657	chr2	209178699	209178700	BP85	MEDIUM	-	+	RC=3;MD=3.83;GN=MEAF6,MEAF6P1;GI=ENSG00000163875.16,ENSG00000240286.1;GC=3,3;CL=FUSION:3;MQ=34.7625,7.44651;MI=0.968354,0.929673;SA=3,3;BP=3;EX=3,3;IN=0,0;AC=chr1:37514656-/chr2:209178699+,chr2:209178943+/chr1:37501995-,chr2:209182245+/chr1:37493642-	RN=4cb89039-1fa7-4b31-9461-3c3b413b615d-ccs,a7933132-d06d-44f2-9886-88627ef233db-ccs,6011607e-2e87-47c4-9b4d-180e029a1a52-ccs;ON=.;CB=.
chr1	37592709	37592710	chr7	49944193	49944194	BP92	MEDIUM	-	-	RC=1;MD=0;GN=N/A,GNL2,GNL2P1;GI=N/A,ENSG00000134697.13,ENSG00000223893.1;GC=1,1,1;CL=FUSION:1;MQ=26.0358,15.0205;MI=0.963791,0.906155;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:37592709-/chr7:49944193-,chr1:37587494+/chr1:37592807-,chr7:49943795-/chr1:37582929-	RN=c32c5324-c5e6-4a0b-ab98-8173fbae03bc-ccs;ON=.;CB=.
chr1	37595757	37595758	chr7	49944263	49944264	BP93	MEDIUM	-	-	RC=2;MD=1.75;GN=GNL2,GNL2P1;GI=ENSG00000134697.13,ENSG00000223893.1;GC=2,2;CL=FUSION:2;MQ=60,5.7712;MI=0.939441,0.910035;SA=2,2;BP=2;EX=2,2;IN=0,0;AC=chr1:37595757-/chr7:49944263-,chr7:49943130-/chr1:37569303-,chr7:49944045-/chr1:37587479-	RN=b7b89065-47c2-4763-ae46-efc0d531f347-ccs,02692bb2-db1a-4561-9f75-d5870f0fe082-ccs;ON=.;CB=.
chr1	37782377	37782378	chr14	50113512	50113513	BP91	MEDIUM	-	-	RC=1;MD=0;GN=VCPKMT,ENSG00000227416;GI=ENSG00000100483.14,ENSG00000227416.2;GC=1,1;CL=FUSION:1;MQ=14.0102,60;MI=0.865838,0.926165;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr1:37782377-/chr14:50113512-,chr14:50116287-/chr1:37782620-	RN=31a26046-68a4-46ba-85f1-da4f2536041b-ccs;ON=.;CB=.
chr1	37799901	37799902	chr1	37799990	37799991	BP861	MEDIUM	-	+	RC=9;MD=369;GN=ENSG00000233728,MANEAL;GI=ENSG00000233728.1,ENSG00000185090.15;GC=9,9;CL=SenseAntisense:9;MQ=60,60;MI=0.932698,0.903371;SA=2,7;BP=9;EX=0,9;IN=1,0;AC=chr1:37799901-/chr1:37799990+	RN=64a1359c-154d-4ea3-84c2-39de0528112f-ccs,efcc5694-a0a7-4a8b-b067-61cf5c11ce46-ccs,2b1b05c9-9075-48d9-bfd4-5e2c8816032d-ccs,ff01f420-fcbd-444b-ae11-e0f00655d3da-ccs,12ab8ead-967a-461f-a451-bbece6c58017-ccs,80931017-32e3-465c-b3ba-401d276cb696-ccs,15142fef-5987-416d-b5c4-66d1eeaa71b9-ccs,469a88dc-92ae-48b3-8334-4d50632688c6-ccs,26b6bff1-1a60-4780-a339-2dbe2a352af9-ccs;ON=.;CB=.
chr1	37989868	37989869	chr11	123599307	123599308	BP97	MEDIUM	-	-	RC=11;MD=70;GN=SF3A3,SF3A3P2;GI=ENSG00000183431.12,ENSG00000254449.1;GC=11,11;CL=PotentialTransSplicing:11;MQ=26.8025,6.04125;MI=0.935146,0.886248;SA=11,1;BP=11;EX=10,11;IN=0,0;AC=chr1:37989868-/chr11:123599307-,chr11:123598690-/chr1:37969463-	RN=cfbf5c83-c1d9-4094-b479-5cc1fe3c8bde-ccs,671d5505-54e8-4b52-9fd8-1be02418128f-ccs,55c088cf-70aa-4ff1-8a94-606d8db2d18f-ccs,2e4a9d32-f1c3-46d6-97f6-35349ce1bcde-ccs,454c8c0c-ead8-4a35-a474-54f512a15f23-ccs,8b6530fc-d43a-4962-8288-cf2e34eb8c70-ccs,db6bcd23-b128-4024-840f-e16f7eaf7fd2-ccs,c5abc943-cb87-4f18-9b34-091787897e4f-ccs,959d2a16-10b2-4dc8-a2df-2645bac91f68-ccs,473679bd-8a50-434d-8a64-35f9d0fb5803-ccs,52ab6180-e2ae-4e62-93a3-ea8b95b0f303-ccs;ON=.;CB=.
chr1	37989972	37989973	chr20	3491011	3491012	BP109	MEDIUM	-	-	RC=26;MD=34.5;GN=SF3A3,SF3A3P1;GI=ENSG00000183431.12,ENSG00000230568.1;GC=26,26;CL=PotentialTransSplicing:26;MQ=29.0823,27.4063;MI=0.952359,0.890153;SA=26,6;BP=26;EX=25,25;IN=0,0;AC=chr1:37989972-/chr20:3491011-,chr20:3489608-/chr1:37958264-	RN=b08b80de-97c7-4cbb-a075-189a11efed79-ccs,042a8a51-91a8-4a0f-901c-d9b26bd3a8db-ccs,c20b4ef2-09b9-4baf-9fa4-b922e9b665c0-ccs,d2a8bc6f-0aaf-4b77-b31c-3732a4fbef78-ccs,7a071cc1-9496-4261-837f-5b33f6729565-ccs,31c15136-026b-4805-b4d6-f92b45584aa0-ccs,bb33a07b-2935-4ee3-a73a-483f82234946-ccs,35565f52-ef5f-4492-ab93-2abe6c5bd941-ccs,150bfc70-c5dd-4f85-ba26-34c768b25cab-ccs,44a3f12b-80dc-4743-9bf2-71c02f15cfcd-ccs,4ff03ca3-75d2-44da-bc73-62d971dfb301-ccs,a4dc1f88-7742-4f0f-9af7-32c96945eaaa-ccs,b67020e4-0dec-4fd8-8829-704d93db6213-ccs,bb72b049-685f-4402-b3bf-5baa1e1c9714-ccs,d1752da7-ea22-4d33-a9f1-c11a4a59d014-ccs,af7a004a-4c56-404e-9c05-59921132a465-ccs,0c0a4dc4-bee1-4473-b0ec-34f62401a113-ccs,ab05a3ec-7729-4d94-b502-303a939d2a3c-ccs,da6dfd3d-1210-4806-95b7-1625e21219f5-ccs,87196b61-e7e7-4bc9-b1ca-31e560afa43a-ccs,256d1e61-51be-470b-8800-33a17cea4fca-ccs,1e4759d4-1b48-4b75-8d29-45d20793bebe-ccs,c3f0b224-a98c-4b9e-84ed-a36ac8af0e93-ccs,79c374c9-0abd-4a47-af52-74d47e98bec3-ccs,eddfdd17-2ac9-437a-a94c-c41a6dfebd62-ccs,d3aee177-9384-44df-b779-0e1903464476-ccs;ON=.;CB=.
chr1	39523561	39523562	chr1	39763583	39763584	BP923	MEDIUM	-	+	RC=1;MD=0;GN=BMP8A,N/A,PPIEL,PPIE;GI=ENSG00000183682.8,N/A,ENSG00000291129.1,ENSG00000084072.17;GC=1,1,1,1;CL=FUSION:1;MQ=48.7223,60;MI=0.952286,0.913313;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:39523561-/chr1:39763583+,chr1:39529164+/chr1:39545731+,chr1:39559611+/chr1:39559426-	RN=f110ec49-dc0c-4722-94ba-2c87cb74dbe4-ccs;ON=.;CB=.
chr1	39525646	39525647	chr1	39525724	39525725	BP924	MEDIUM	-	+	RC=1;MD=0;GN=PPIEL,BMP8A;GI=ENSG00000291129.1,ENSG00000183682.8;GC=1,1;CL=SenseAntisense:1;MQ=60,60;MI=0.931153,0.916;SA=0,1;BP=1;EX=0,1;IN=1,0;AC=chr1:39525646-/chr1:39525724+	RN=479898c8-9dc9-4ab7-bff3-4f2752cdb440-ccs;ON=.;CB=.
chr1	39565103	39565104	chr15	94033734	94033735	BP96	MEDIUM	-	+	RC=3;MD=39.3;GN=PABPC4,ENSG00000258895;GI=ENSG00000090621.15,ENSG00000258895.1;GC=3,3;CL=FUSION:3;MQ=24.1341,5.70288;MI=0.94259,0.8767;SA=3,2;BP=3;EX=3,0;IN=0,0;AC=chr1:39565103-/chr15:94033734+	RN=3a578ccb-3dec-4a58-801e-d617ae4232a8-ccs,dcc588ab-117b-4ce2-a76d-99811915a068-ccs,bab9a9e1-3b6a-41c0-b2c9-4dbfa41655b9-ccs;ON=.;CB=.
chr1	39565104	39565105	chr12	59812335	59812336	BP112	MEDIUM	-	+	RC=1;MD=0;GN=PABPC4,ENSG00000237176;GI=ENSG00000090621.15,ENSG00000237176.4;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.958159,0.88743;SA=1,0;BP=1;EX=1,0;IN=0,0;AC=chr1:39565104-/chr12:59812335+	RN=6069db50-a18c-43fc-a993-ed0f8593049a-ccs;ON=.;CB=.
chr1	39568799	39568800	chr15	94033718	94033719	BP97	MEDIUM	-	+	RC=1;MD=0;GN=N/A,PABPC4-AS1,PABPC4,ENSG00000258895;GI=N/A,ENSG00000228060.3,ENSG00000090621.15,ENSG00000258895.1;GC=1,1,1,1;CL=FUSION:1;MQ=30.7678,1;MI=0.945162,0.884211;SA=1,0;BP=1;EX=1,0;IN=0,0;AC=chr1:39568799-/chr15:94033718+,chr1:39572578+/chr1:39568940-,chr12:59812192-/chr1:39572389+	RN=d76e6d81-8649-4a56-b286-0d03a910e2d2-ccs;ON=.;CB=.
chr1	39571232	39571233	chr12	59812193	59812194	BP113	MEDIUM	-	+	RC=1;MD=0;GN=N/A,PABPC4-AS1,PABPC4,ENSG00000237176;GI=N/A,ENSG00000228060.3,ENSG00000090621.15,ENSG00000237176.4;GC=1,1,1,1;CL=FUSION:1;MQ=27.5743,55;MI=0.935397,0.868327;SA=1,1;BP=1;EX=1,0;IN=0,0;AC=chr1:39571232-/chr12:59812193+,chr1:39571345+/chr1:39572389+,chr1:39572585+/chr1:39575757+,chr1:39575975+/chr1:39571334-,chr12:59812192-/chr1:39571232+	RN=8b346e30-2fba-4956-ab9e-6d9b9a721cb2-ccs;ON=.;CB=.
chr1	39764645	39764646	chr1	39523004	39523005	BP941	MEDIUM	-	+	RC=1;MD=0;GN=BMP8A,BMP8B;GI=ENSG00000183682.8,ENSG00000116985.12;GC=1,1;CL=FUSION:1;MQ=4.98298,60;MI=0.990365,0.94622;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:39764645-/chr1:39523004+,chr1:39511901+/chr1:39764817-	RN=7c673f29-c22b-4d2b-b6f0-559f4c9a6a56-ccs;ON=.;CB=.
chr1	39774846	39774847	chr1	39521383	39521384	BP942	MEDIUM	-	+	RC=1;MD=0;GN=BMP8B,BMP8A,N/A;GI=ENSG00000116985.12,ENSG00000183682.8,N/A;GC=1,1,1;CL=FUSION:1;MQ=3.0103,28.0089;MI=0.911585,0.925281;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr1:39774846-/chr1:39521383+,chr1:39521540+/chr1:39762359-	RN=e6b8a3f5-b539-4cfc-a62b-172e5df5e903-ccs;ON=.;CB=.
chr1	23760604	23760605	chr1	23761665	23761666	BP472	MEDIUM	-	+	RC=1;MD=0;GN=ELOA-AS1,ELOA;GI=ENSG00000236810.8,ENSG00000011007.13;GC=1,1;CL=SenseAntisense:1;MQ=60,60;MI=0.905104,0.921833;SA=0,1;BP=1;EX=0,1;IN=1,0;AC=chr1:23760604-/chr1:23761665+	RN=429f4a20-5868-42f0-bc5a-e1571e78a2fb-ccs;ON=.;CB=.
