ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF044	UBE3A	PIN4	1	chr15	25438979	chrX	72277213	SRR12048357.1022673
GF045	POLR3C	BRWD1	1	chr1	145831919	chr21	39271983	SRR12048357.1022861
GF046	CHP1	VPS50	1	chr15	41280513	chr7	93360408	SRR12048357.102327
GF047	SRSF11	RICTOR	1	chr1	70249950	chr5	38971876	SRR12048357.1023322
GF048	VIM	CLK1	1	chr10	17237593	chr2	200864656	SRR12048357.1023441
GF049	MIR4300HG	EEF1A1P5	1	chr11	82689537	chr9	133021174	SRR12048357.1024181
GF050	CDV3	ANGPT1	1	chr3	133588804	chr8	107398485	SRR12048357.1024515
GF051	VPS36	ITPR1	1	chr13	52444352	chr3	4602408	SRR12048357.1024840
GF052	SEC62	CEMIP2	1	chr3	169978517	chr9	71755338	SRR12048357.1024939
GF053	GOLGB1	DOCK11	1	chr3	121673107	chrX	118602564	SRR12048357.1025126
GF054	CD69	GMDS-DT	1	chr12	9760233	chr6	2336060	SRR12048357.102525
GF055	RO60	ENSG00000260537	1	chr1	193089841	chr16	70337285	SRR12048357.1025296
GF056	ATF7IP	HINT1	1	chr12	14498965	chr5	131203576	SRR12048357.1025297
GF057	UBA6	MID1IP1	1	chr4	67670526	chrX	38806445	SRR12048357.1025341
GF058	PUM3	MT-ATP6	1	chr9	2844050	chrM	8786	SRR12048357.1025357
GF059	SFPQ	CDK12	1	chr1	35183267	chr17	39477233	SRR12048357.1026245
GF060	COPB1	MRPL38	1	chr11	14499031	chr17	75898643	SRR12048357.1026594
GF061	RABGAP1L	EEF1A1	1	chr1	174328697	chr6	73521030	SRR12048357.1026841
GF062	PLEKHA7	GNAQ	1	chr11	16975040	chr9	77897218	SRR12048357.1027222
GF063	ATP5F1E	PRKCI	1	chr20	59032304	chr3	170275641	SRR12048357.102729
GF064	SCAF4	SARAF	3	chr21	31721739	chr8	30082089	SRR12048357.1027528
GF065	SNAP23	FUBP3	1	chr15	42533054	chr9	130579617	SRR12048357.1027788
GF066	TMEM50A	TIMM50	1	chr1	25338629	chr19	39480837	SRR12048357.1028742
GF067	CDV3	DOCK5	1	chr3	133590255	chr8	25414909	SRR12048357.1030435
GF068	CCT7	OOEP	1	chr2	73253001	chr6	73373312	SRR12048357.1030902
GF069	RNF24	OOEP	1	chr20	3952121	chr6	73373312	SRR12048357.1030902
GF070	CCT7	RNF24	1	chr2	73252649	chr20	3952121	SRR12048357.1030902
GF071	DENND5A	MARS1	1	chr11	9256421	chr12	57517905	SRR12048357.103177
GF072	TM7SF3	SRSF3	1	chr12	26972533	chr6	36598376	SRR12048357.1032478
GF073	ELF1	MFSD4B	1	chr13	40982285	chr6	111279673	SRR12048357.1032860
GF074	AGO4	YTHDF3	1	chr1	35856714	chr8	63182726	SRR12048357.1032901
GF075	HNRNPH1	PIN4	1	chr5	179614801	chrX	72276228	SRR12048357.1033640
GF076	FCHSD2	PCNX1	2	chr11	73113445	chr14	70989515	SRR12048357.1034802,SRR12048357.1034586
GF077	EIF3I	ENSG00000235979	1	chr1	32231598	chr17	19446672	SRR12048357.1034895
GF078	TAF1D	RPS6	1	chr11	93741494	chr9	19379619	SRR12048357.103524
GF079	POU2F1	EEF1A1P5	1	chr1	167416107	chr9	133019421	SRR12048357.1035302
GF080	HERPUD2	DMTF1	1	chr7	35633503	chr7	87182160	SRR12048357.1036427
GF081	ENSG00000263809	SUMO1	1	chr17	8383181	chr2	202238596	SRR12048357.1037590
GF082	FLII	CEP70	1	chr17	18244814	chr3	138589506	SRR12048357.1037764
GF083	ADAM10	HLA-DRB1	1	chr15	58596107	chr6	32589786	SRR12048357.103876
GF084	MPHOSPH8	ENSG00000256646	1	chr13	19633662	chr7	42932173	SRR12048357.1038939
GF085	CCNG1	MT-RNR2	1	chr5	163437609	chrM	2131	SRR12048357.1039111
GF086	NCOR1	RPS18	1	chr17	16215538	chr6	33272082	SRR12048357.1039408
GF087	OOEP	MT-CO3	1	chr6	73372923	chrM	9206	SRR12048357.1039794
GF088	COA5	NSUN3	1	chr2	98608503	chr3	94063022	SRR12048357.104101
GF089	RPS11	ENSG00000289206	1	chr19	49499688	chr5	42994982	SRR12048357.1041092
GF090	BRD7	STK10	1	chr16	50353280	chr5	172106256	SRR12048357.1041921
GF091	ZEB2	EEF1A1P5	1	chr2	144502854	chr9	133019423	SRR12048357.1043316
GF092	ZC3H7A	RPL23A	1	chr16	11797243	chr17	28720003	SRR12048357.104397
GF093	GAPDH	KIZ	1	chr12	6538369	chr20	21166602	SRR12048357.1044727
GF094	NPC2	MT-ND6	1	chr14	74480102	chrM	14474	SRR12048357.1044753
GF095	COBLL1	CLIC1	1	chr2	164799023	chr6	31736308	SRR12048357.1044819
GF096	H4C14	PDCD6IP	1	chr1	149833697	chr3	33867005	SRR12048357.1045308
GF097	GNAI2	SEM1	1	chr3	50236230	chr7	96709797	SRR12048357.1045474
GF098	SRSF5	SNW1	1	chr14	69767149	chr14	77761155	SRR12048357.1046366
GF099	RPL21P16	ASAH1	1	chr10	120355220	chr8	18062423	SRR12048357.1046510
GF0100	TIPRL	MDK	1	chr1	168178962	chr11	46382056	SRR12048357.1047161
GF0101	H2BC8	ACTB	1	chr6	26216477	chr7	5527483	SRR12048357.1047415
GF0102	ENSG00000289809	EPM2AIP1	1	chr3	12841539	chr3	36986787	SRR12048357.1047808
GF0103	MBOAT7	CCDC14	1	chr19	54175037	chr3	123933082	SRR12048357.1047862
GF0104	RPL21P16	HINT1	1	chr10	120354648	chr5	131205413	SRR12048357.1048760
GF0105	ILK	RPL27	1	chr11	6603758	chr17	42998450	SRR12048357.1049012
GF0106	MIRLET7IHG	CHFR	1	chr12	62613603	chr12	132836704	SRR12048357.1049330
GF0107	RDX	SRSF6	1	chr11	110239851	chr20	43461340	SRR12048357.1049604
GF0108	HNRNPM	ENSG00000267277	1	chr19	8473119	chr19	11370370	SRR12048357.1050150
GF0109	UBE2N	BTBD7	1	chr12	93432341	chr14	93290280	SRR12048357.1051109
GF0110	YPEL5	DHX15	1	chr2	30160531	chr4	24584550	SRR12048357.1052941
GF0111	GRIN2C	CFLAR	1	chr17	74856726	chr2	201168105	SRR12048357.1053042
GF0112	TIMM17A	PTPN7	1	chr1	201969471	chr1	202157736	SRR12048357.1053278
GF0113	POMP	RBFOX2	1	chr13	28659129	chr22	35838685	SRR12048357.1053871
GF0114	ATP5MG	DAZAP2	1	chr11	118401605	chr12	51238881	SRR12048357.1053878
GF0115	IQGAP1	CUTA	1	chr15	90482229	chr6	33418129	SRR12048357.105417
GF0116	NUP98	POC1B	1	chr11	3728825	chr12	89521150	SRR12048357.1054725
GF0117	ENSG00000289694	ETV6	1	chr1	22091805	chr12	11893761	SRR12048357.1056335
GF0118	EFTUD2	RPS19	1	chr17	44871395	chr19	41871415	SRR12048357.1056449
GF0119	TENT2	PRPF4B	1	chr5	79612572	chr6	4021367	SRR12048357.1056706
GF0120	CRKL	ENSG00000273184	1	chr22	20948701	chr7	128462196	SRR12048357.1056847
GF0121	FOS	RPL10P9	1	chr14	75278642	chr5	168616318	SRR12048357.1056965
GF0122	ABRAXAS2	SNHG29	1	chr10	124801822	chr17	16439319	SRR12048357.1057109
GF0123	CNOT2	ZSCAN31	1	chr12	70335553	chr6	28335777	SRR12048357.1057412
GF0124	MYL6	H3-3B	1	chr12	56158358	chr17	75778118	SRR12048357.1057456
GF0125	WDR76	ENSG00000248347	1	chr15	43828363	chr8	47101186	SRR12048357.1057510
GF0126	AFG1L	TOMM7	1	chr6	108452014	chr7	22812980	SRR12048357.1058130
GF0127	ATP2B1	RPS6	3	chr12	89598062	chr9	19380231	SRR12048357.1058483,SRR12048357.1058483
GF0128	ENSG00000291336	MDN1	1	chr6	26159209	chr6	89721153	SRR12048357.105849
GF0129	RPS9	ENSG00000291336	1	chr19	54200869	chr6	26159209	SRR12048357.105849
GF0130	RPS9	MDN1	1	chr19	54200868	chr6	89721153	SRR12048357.482307
GF0131	RPS9	MDN1	1	chr19	54207646	chr6	89721153	SRR12048357.105849
GF0132	COX16	SENP3-EIF4A1	1	chr14	70359636	chr17	7572789	SRR12048357.1058733
GF0133	RPL36	YWHAZ	1	chr19	5690295	chr8	100952994	SRR12048357.1059330
GF0134	FOXP1	GTF2E2	1	chr3	70956749	chr8	30585788	SRR12048357.1059867
GF0135	LNCRNA-IUR	NUP58	1	chr11	95171219	chr13	25356408	SRR12048357.1060370
GF0136	FBXO11	WDR33	1	chr2	47877096	chr2	127742577	SRR12048357.1060522
GF0137	VPS29	COPG2	1	chr12	110498858	chr7	130636548	SRR12048357.1062551
GF0138	ENSG00000289694	CEP41	1	chr1	22091793	chr7	130441009	SRR12048357.1062942
GF0139	ZBTB8A	POU2F1	1	chr1	32605058	chr1	167417696	SRR12048357.106298
GF0140	CCNT2	GNAQ	1	chr2	134932391	chr9	77962488	SRR12048357.1063336
GF0141	MCMBP	RPS14	1	chr10	119834692	chr5	150444236	SRR12048357.106370
GF0142	PSMC6	H3-3B	1	chr14	52727312	chr17	75779779	SRR12048357.1064874
GF0143	PICALM	ARRDC3	1	chr11	86042662	chr5	91368722	SRR12048357.1065062
GF0144	RPS27A	PIN4	1	chr2	55232806	chrX	72276234	SRR12048357.1065252
GF0145	FGD5-AS1	RNF19A	1	chr3	14946155	chr8	100309869	SRR12048357.1065481
GF0146	LUZP1	ATF3	1	chr1	23156780	chr1	212590429	SRR12048357.1066273
GF0147	UBC	RPL37A	1	chr12	124911895	chr2	216498847	SRR12048357.1066798
GF0148	PUM1	FXR1	1	chr1	30983705	chr3	180955029	SRR12048357.1066803
GF0149	GMDS	BNIP3L	1	chr6	2243981	chr8	26386459	SRR12048357.1067397
GF0150	CD69	G3BP1	1	chr12	9758232	chr5	151804391	SRR12048357.1067538
GF0151	NBEAL1	LINC02067	1	chr2	203190693	chr3	161429071	SRR12048357.1067859
GF0152	GDI2	RUNX1	1	chr10	5813378	chr21	34882916	SRR12048357.106805
GF0153	LYZ	PANK2	1	chr12	69354233	chr20	3927310	SRR12048357.1068157
GF0154	ENSG00000230021	NMD3	1	chr1	629272	chr3	161248947	SRR12048357.1068776
GF0155	MIR181A1HG	CASC15	1	chr1	198909472	chr6	21934535	SRR12048357.1068934
GF0156	ENSG00000235979	RPL19	1	chr17	19446876	chr17	39204726	SRR12048357.1069078
GF0157	ENSA	ENSG00000248636	1	chr1	150615007	chr12	119600036	SRR12048357.106925
GF0158	CLEC4D	SRRM2	1	chr12	8513494	chr16	2760621	SRR12048357.1071119
GF0159	NBEAL1	FAM131B-AS2	1	chr2	203191334	chr7	143379688	SRR12048357.1071689
GF0160	PDCD4	NBEAL1	1	chr10	110898159	chr2	203190690	SRR12048357.1071689
GF0161	PDCD4	FAM131B-AS2	1	chr10	110898159	chr7	143379688	SRR12048357.1071689
GF0162	RPS11	C6orf62	1	chr19	49497191	chr6	24704918	SRR12048357.1072880
GF0163	PPP3CC	SARAF	1	chr8	22534024	chr8	30075209	SRR12048357.1073172
GF0164	C16orf54	RPS6	1	chr16	29743252	chr9	19376254	SRR12048357.1073186
GF0165	ATF7IP2	SRSF6	1	chr16	10387740	chr20	43461369	SRR12048357.1073486
GF0166	LIN7C	HNRNPDL	1	chr11	27506770	chr4	82424748	SRR12048357.1074129
GF0167	POLR1B	IL1B	1	chr2	112575867	chr2	112833574	SRR12048357.1074325
GF0168	TUBGCP5	BCORL1	1	chr15	23003935	chrX	129989711	SRR12048357.1075865
GF0169	YWHAB	MTO1	1	chr20	44907653	chr6	73501095	SRR12048357.1076290
GF0170	TSPAN9	XRN1	1	chr12	3211950	chr3	142306611	SRR12048357.107673
GF0171	SSBP3	RPS15P4	1	chr1	54284114	chr2	171517221	SRR12048357.1077273
GF0172	RETREG2	ACSL3	1	chr2	219185462	chr2	222912872	SRR12048357.1077771
GF0173	SMN2	SMN1	1	chr5	70049717	chr5	70925066	SRR12048357.4367
GF0174	SMN2	SMN1	1	chr5	70050371	chr5	70927767	SRR12048357.1078116
GF0175	OOEP	MT-ND1	1	chr6	73373232	chrM	4146	SRR12048357.1078843
GF0176	RPS3	NCL	1	chr11	75399526	chr2	231464484	SRR12048357.1078967
GF0177	RPL13A	PYURF	1	chr19	49487617	chr4	88523760	SRR12048357.1079561
GF0178	CCNA1	HLA-DOA	1	chr13	36432499	chr6	33004399	SRR12048357.1079755
GF0179	PDCD4	NKIRAS1	1	chr10	110898164	chr3	23917129	SRR12048357.108108
GF0180	CUL3	AFF2	1	chr2	224500844	chrX	148708566	SRR12048357.1082152
GF0181	PSME4	ELMO1	1	chr2	53915398	chr7	37221770	SRR12048357.1082474
GF0182	DNM1L	SEC16A	1	chr12	32744540	chr9	136452308	SRR12048357.1082895
GF0183	APLF	RPS14	1	chr2	68501103	chr5	150449736	SRR12048357.1083442
GF0184	ENSG00000285565	MT-RNR2	1	chr6	31834917	chrM	1670	SRR12048357.1083740
GF0185	DDX5	ENSG00000225963	1	chr17	64506279	chr2	230168111	SRR12048357.1085031
GF0186	VPS37B	MT-RNR2	1	chr12	122865329	chrM	3229	SRR12048357.1085180
GF0187	MTCH2	FAM117A	1	chr11	47625739	chr17	49763891	SRR12048357.1085296
GF0188	RPS3	RSKR	1	chr11	75399517	chr17	28467790	SRR12048357.1085887
GF0189	LMO4	MT-RNR2	1	chr1	87345411	chrM	1986	SRR12048357.1085947
GF0190	H3-3B	RPL10A	1	chr17	75779766	chr6	35468796	SRR12048357.1086506
GF0191	AK6	FGFR1	1	chr5	69364743	chr8	38413619	SRR12048357.1087710
GF0192	CD34	PAPOLA-DT	1	chr1	207881662	chr14	96500831	SRR12048357.1088153
GF0193	ZNF622	MT-RNR2	1	chr5	16465778	chrM	2209	SRR12048357.1088413
GF0194	MKLN1	MT-ND3	1	chr7	131327893	chrM	10242	SRR12048357.1089124
GF0195	SRSF5	KPNA4	1	chr14	69771669	chr3	160500173	SRR12048357.1089908
GF0196	ENSG00000290921	PARG	1	chr10	45874966	chr10	49961852	SRR12048357.1090152
GF0197	CD46	PPP2R5E	1	chr1	207752085	chr14	63422443	SRR12048357.1090696
GF0198	KLF6	VIM	1	chr10	3779029	chr10	17233811	SRR12048357.1090708
GF0199	MAX	SMURF1	1	chr14	65089542	chr7	99125099	SRR12048357.1091372
GF0200	ANKRD42-DT	USP34	1	chr11	83191403	chr2	61345260	SRR12048357.1091604
GF0201	PPP6R3	SOX4	1	chr11	68582390	chr6	21596609	SRR12048357.1091953
GF0202	BROX	SUPT6H	1	chr1	222733329	chr17	28664121	SRR12048357.1091966
GF0203	SMYD3	ANKDD1A	1	chr1	246088237	chr15	64952786	SRR12048357.1092693
GF0204	CDC42SE2	PRDM14	1	chr5	131292098	chr8	70057538	SRR12048357.1092731
GF0205	NEAT1	MDM2	1	chr11	65426061	chr12	68843374	SRR12048357.1093295
GF0206	NEAT1	CNOT2	1	chr11	65439989	chr12	70288397	SRR12048357.109351
GF0207	RPL27	EEF1A1	1	chr17	42998742	chr6	73518099	SRR12048357.1094082
GF0208	TANGO6	GNAQ	1	chr16	69067666	chr9	77837330	SRR12048357.1094314
GF0209	ENSG00000289694	RNF125	1	chr1	22084942	chr18	32070456	SRR12048357.1094446
GF0210	ENSG00000286891	PIN4	1	chr4	43898966	chrX	72277213	SRR12048357.1095083
GF0211	B4GALT1	PIN4	1	chr9	33111252	chrX	72277213	SRR12048357.1095083
GF0212	ENSG00000286891	B4GALT1	1	chr4	43899411	chr9	33111252	SRR12048357.1095083
GF0213	CPSF2	ENSG00000243004	1	chr14	92153878	chr7	20003276	SRR12048357.1096829
GF0214	ARHGEF2	RUNX2	1	chr1	155947184	chr6	45438271	SRR12048357.1097983
GF0215	SEPTIN2	CD164	1	chr2	241329177	chr6	109377302	SRR12048357.1099
GF0216	TBCA	OGT	1	chr5	77776259	chrX	71575885	SRR12048357.1099330
GF0217	BCL11A	B3GNT2	1	chr2	60553215	chr2	62222211	SRR12048357.109954
GF0218	DR1	MAGT1	1	chr1	93362834	chrX	77895424	SRR12048357.1099833
GF0219	MT-ND5	VMA21	1	chrM	12335	chrX	151407182	SRR12048357.1100717
GF0220	SNTN	CENPP	1	chr3	63663449	chr9	92500240	SRR12048357.1101572
GF0221	SPART	RPL12	1	chr13	36346265	chr9	127451401	SRR12048357.1102552
GF0222	SRSF11	CYRIB	1	chr1	70246887	chr8	130016550	SRR12048357.1103028
GF0223	OSBPL1A	ENSG00000291336	1	chr18	24365033	chr6	26160536	SRR12048357.1103607
GF0224	NF1	RPL34	1	chr17	31317658	chr4	108625213	SRR12048357.1103646
GF0225	BAZ1A	ILF3	1	chr14	34802949	chr19	10675256	SRR12048357.110416
GF0226	MRPS34	RAB5A	1	chr16	1771922	chr3	19954525	SRR12048357.1104479
GF0227	ZNF160	ETF1	1	chr19	53073921	chr5	138512092	SRR12048357.1104811
GF0228	PUM2	MT-ND3	1	chr2	20339515	chrM	10067	SRR12048357.1105538
GF0229	PLEKHA7	ACTG1	1	chr11	16975039	chr17	81510589	SRR12048357.1107860
GF0230	PELI1	STK17B	1	chr2	64139519	chr2	196162707	SRR12048357.1108981
GF0231	TOP1	H2AC8	1	chr20	41081224	chr6	26217555	SRR12048357.1109236
GF0232	FOS	RPS11	1	chr14	75282229	chr19	49496421	SRR12048357.1110245
GF0233	ZBTB41	NEAT1	1	chr1	197153681	chr11	65432655	SRR12048357.1111021
GF0234	GUSBP15	KCTD20	1	chr5	70549159	chr6	36490090	SRR12048357.111108
GF0235	RPLP1	SNHG29	2	chr15	69452819	chr17	16439325	SRR12048357.523840,SRR12048357.1111084
GF0236	FUT8	TBC1D32	1	chr14	65616320	chr6	121170459	SRR12048357.1111514
GF0237	RPL10P9	RPL10	5	chr5	168616316	chrX	154400593	SRR12048357.435735
GF0238	PREPL	STK3	2	chr2	44352367	chr8	98547974	SRR12048357.1111795
GF0240	ADNP	ARMC8	1	chr20	50890138	chr3	138190318	SRR12048357.111185
GF0241	ENSG00000287398	LAP3	1	chr3	75215053	chr4	17577471	SRR12048357.1112613
GF0242	KLF6	MBNL1	1	chr10	3776552	chr3	152450107	SRR12048357.1112782
GF0243	RPS13	PIN4	2	chr11	17074388	chrX	72277217	SRR12048357.78891,SRR12048357.7823840
GF0244	RPS13	PIN4	1	chr11	17077658	chrX	72277218	SRR12048357.1112895
GF0245	RTN4	HNRNPH1	1	chr2	55011046	chr5	179614678	SRR12048357.1113185
GF0246	ANKDD1A	VMP1	1	chr15	64953742	chr17	59744870	SRR12048357.1113464
GF0247	AFMID	QPCT	1	chr17	78207622	chr2	37344719	SRR12048357.1113857
GF0248	DPH5-DT	MAPK1IP1L	1	chr1	101090240	chr14	55063991	SRR12048357.1116090
GF0249	THADA	PIN4	1	chr2	43596036	chrX	72272611	SRR12048357.1117002
GF0250	IL6ST	GGCT	1	chr5	55944617	chr7	30504825	SRR12048357.1117168
GF0251	YBX1	MINPP1	1	chr1	42702346	chr10	87505302	SRR12048357.1117246
GF0252	CAMTA1	RPL14P1	1	chr1	6843764	chr12	62965301	SRR12048357.111732
GF0253	DIP2A	CD83	2	chr21	46556640	chr6	14123610	SRR12048357.1118131
GF0255	MPHOSPH9	FMR1	1	chr12	123207045	chrX	147947605	SRR12048357.1119027
GF0256	NDUFV1	RPS20	1	chr11	67606929	chr8	56074499	SRR12048357.1119241
GF0257	JMJD1C	MYADM	1	chr10	63234251	chr19	53874866	SRR12048357.1119500
GF0258	TLE3	ING3	1	chr15	70049528	chr7	120956694	SRR12048357.1119829
GF0259	ENSG00000227161	LRRFIP1	1	chr15	59661221	chr2	237765087	SRR12048357.112029
GF0260	SLC35C2	LMF2	1	chr20	46355310	chr22	50503501	SRR12048357.1120758
GF0261	FOXP1	MT-ND3	1	chr3	71058453	chrM	10113	SRR12048357.1121233
GF0262	SRSF11	RNF32-DT	1	chr1	70230706	chr7	156638373	SRR12048357.1121390
GF0263	RNPEP	OFD1	1	chr1	201982636	chrX	13734847	SRR12048357.1121765
GF0264	FNBP1P1	ZGPAT	1	chr2	74122513	chr20	63708064	SRR12048357.1122903
GF0265	ELOB	C2orf76	1	chr16	2777273	chr2	119366730	SRR12048357.1123598
GF0266	CDK11A	CHPT1	1	chr1	1723067	chr12	101728020	SRR12048357.1123844
GF0267	PRKCA	VPS13A	1	chr17	66406595	chr9	77260368	SRR12048357.1124104
GF0268	N4BP2L2	FANCL	1	chr13	32530092	chr2	58167142	SRR12048357.1124155
GF0269	TSPAN9	ANXA4	1	chr12	3211952	chr2	69826347	SRR12048357.1124656
GF0270	ECHS1	FOS	1	chr10	133362583	chr14	75281575	SRR12048357.1125391
GF0271	CD74	FAM133B	1	chr5	150409763	chr7	92565473	SRR12048357.1126075
GF0272	IFI16	CLK1	1	chr1	159015984	chr2	200862105	SRR12048357.112654
GF0273	ENSG00000235979	ENSG00000250349	1	chr17	19446870	chrX	37847514	SRR12048357.1127148
GF0274	RIF1	ALS2	1	chr2	151437620	chr2	201715794	SRR12048357.1127195
GF0275	MISFA	SPTY2D1	1	chr11	18606984	chr11	18617399	SRR12048357.1129405
GF0276	LINC00910	ATP11B	1	chr17	43360905	chr3	182901355	SRR12048357.1129562
GF0277	PIAS1	RAB7A	1	chr15	68054314	chr3	128814098	SRR12048357.1130787
GF0278	ABCC1	LUC7L2	1	chr16	16011437	chr7	139421094	SRR12048357.113113
GF0279	ZCCHC7	DDX3X	2	chr9	37218958	chrX	41350180	SRR12048357.1131772
GF0281	CSDE1	C1orf56	1	chr1	114717291	chr1	151050983	SRR12048357.1132037
GF0282	COMMD3	UBA52	1	chr10	22316387	chr19	18575218	SRR12048357.1132126
GF0283	P2RX4	ANKDD1A	1	chr12	121234104	chr15	64956425	SRR12048357.1132251
GF0284	PPIL4	RCL1	1	chr6	149546004	chr9	4859268	SRR12048357.1132497
GF0285	ENSG00000279605	EEF1D	2	chr8	143580550	chr8	143597410	SRR12048357.962918,SRR12048357.1132900
GF0286	RHEX	RPL8	1	chr1	206083559	chr8	144792142	SRR12048357.1133513
GF0287	HNRNPA0	MAP3K5	1	chr5	137751673	chr6	136634881	SRR12048357.1133544
GF0288	NCKAP5L	USP32	1	chr12	49814255	chr17	60264888	SRR12048357.1133955
GF0289	DHTKD1	STK4	1	chr10	12121302	chr20	45078464	SRR12048357.1134421
GF0290	SRSF6	IFNGR2	1	chr20	43461355	chr21	33437127	SRR12048357.1134456
GF0291	ACBD5	SPATA2L	1	chr10	27191869	chr16	89699742	SRR12048357.1134650
GF0292	CELF2	PPP1R42	1	chr10	11252761	chr8	67045818	SRR12048357.1134862
GF0293	USP30	ENSG00000291338	1	chr12	109055554	chr6	26197449	SRR12048357.1135259
GF0294	TTC7B	ANKDD1A	1	chr14	90800830	chr15	64955107	SRR12048357.1135512
GF0295	ARID1A	FBXO7	1	chr1	26765873	chr22	32488803	SRR12048357.1135889
GF0296	B2M	SNX5	1	chr15	44712820	chr20	17957330	SRR12048357.1136003
GF0297	RSKR	FKBP5	1	chr17	28467776	chr6	35609183	SRR12048357.1136391
GF0298	SAR1B	RPS12	1	chr5	134632806	chr6	132814572	SRR12048357.1137290
GF0299	SLC25A12	PIN4	1	chr2	171973416	chrX	72277217	SRR12048357.1137420
GF0300	SMYD3	HMGB1	1	chr1	246507053	chr13	30463694	SRR12048357.1137682
GF0301	ZMYND8	ENSG00000291336	1	chr20	47210579	chr6	26196051	SRR12048357.113824
GF0302	RPL4	MAP3K13	2	chr15	66499328	chr3	185417661	SRR12048357.424721
GF0303	H4C15	CNST	1	chr1	149860565	chr1	246566501	SRR12048357.1139628
GF0304	SRPK1	SAT1	1	chr6	35921090	chrX	23786209	SRR12048357.1139750
GF0305	CAND1	RAP1B	2	chr12	67278639	chr12	68618295	SRR12048357.1140597
GF0307	TRAF3	CENPC	1	chr14	102822701	chr4	67537543	SRR12048357.1140643
GF0308	NAP1L1	TWF2	1	chr12	76046394	chr3	52240561	SRR12048357.1141341
