##VERSION=0.4.1
##SAMPLE=UnnamedSample
##READTYPE=UNKNOWN
##TIME=2024-09-03T03:27:17.604573110Z
##COMMAND=pbfusion discover --gtf /Reference/annotation.bin --output-prefix /dataset/pbfusion/pbfusion --threads 50 --min-coverage 1 -b /dataset/pbfusion/NA12878_ONT_dRNA_Q10.bam
##INFO=<ID=RC,Number=1,Type=Int,Description="Number of reads supporting breakpoints">
##INFO=<ID=MD,Number=1,Type=Float,Description="Mean breakpoint variability (bp)">
##INFO=<ID=GN,Number=List,Type=String,Description="Gene names in breakpoint cluster from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GI,Number=List,Type=String,Description="Gene IDs from reference GTF. Segments not matching known genes are annotated as "N/A".">
##INFO=<ID=GC,Number=List,Type=Int,Description="Read support counts per gene name">
##INFO=<ID=CL,Number=1,Type=String,Description="Annotation of alignment classes [Fusion, ReadThrough, Unannotated, or SenseAntisense]">
##INFO=<ID=MQ,Number=2,Type=Float,Description="Phred-encoded mean map qualities for source and sink breakpoints, respectively; averaged in error probability space, not phred scores">
##INFO=<ID=MI,Number=2,Type=Float,Description="Mean alignment identity for the source and sink breakpoints, respectively">
##INFO=<ID=SA,Number=2,Type=Int,Description="Supplemental alignment counts for the source and sink">
##INFO=<ID=BP,Number=1,Type=Int,Description="Number of breakpoint pairs in cluster">
##INFO=<ID=EX,Number=2,Type=Int,Description="Counts of exonic breakpoints for the source and sink">
##INFO=<ID=IN,Number=2,Type=Int,Description="Counts of intronic breakpoints for the source and sink">
##INFO=<ID=AC,Number=List,Type=String,Description="Annotation of all breakpoints supported by reads in this cluster.">
##EXTRA=<ID=RN,Number=List,Type=String,Description="Names of reads contributing support">
##EXTRA=<ID=ON,Number=List,Type=String,Description="Names of reads contributing support if read clustering was used">
##EXTRA=<ID=CB,Number=List,Type=String,Description="Single cell barcodes contributing support">
#chr1	start1	end1	chr2	start2	end2	id	score	strand1	strand2	info	extra
chr11	13445025	13445026	chr12	52748775	52748776	BP848	MEDIUM	-	+	RC=3;MD=26.5;GN=BTBD10,BTBD10P1;GI=ENSG00000148925.11,ENSG00000257675.1;GC=3,3;CL=FUSION:3;MQ=60,60;MI=0.952287,0.859476;SA=3,2;BP=3;EX=3,2;IN=0,0;AC=chr11:13445025-/chr12:52748775+,chr12:52749808+/chr11:13389142-	RN=c96e28d5-d3ed-4785-a3f5-743036169fd9-ccs,a6309ebf-e2b8-4ea4-bc48-5b2ab60ba89a-ccs,18dc974b-7b2a-4eec-a803-4b8646efe52d-ccs;ON=.;CB=.
chr11	14281599	14281600	chr1	52993281	52993282	BP832	MEDIUM	-	-	RC=1;MD=0;GN=RRAS2,RRAS2P1;GI=ENSG00000133818.14,ENSG00000236360.2;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.875674,0.879346;SA=0,1;BP=1;EX=0,1;IN=1,0;AC=chr11:14281599-/chr1:52993281-	RN=a3aa06ec-7783-438f-86fd-d404fbf87702-ccs;ON=.;CB=.
chr11	14358761	14358762	chr1	52993703	52993704	BP833	MEDIUM	-	-	RC=69;MD=13.5;GN=RRAS2,RRAS2P1;GI=ENSG00000133818.14,ENSG00000236360.2;GC=69,69;CL=FUSION:69;MQ=36.1898,13.6957;MI=0.888588,0.873071;SA=69,0;BP=69;EX=69,69;IN=0,0;AC=chr1:52992289-/chr11:14278426-,chr11:14358761-/chr1:52993703-	RN=787fe694-5df8-4ddf-8ac2-7a4a8bd79eba-ccs,879dfdb0-9786-4699-bc50-3c3e17423541-ccs,070119ed-8fcf-4142-8622-80440cc41356-ccs,76ea71a2-4b1b-49e3-9025-cf6c4cabe105-ccs,0acee392-de4c-472c-9ef2-0d688e316538-ccs,72d1a5c0-9c1b-4f24-9250-365ce670a962-ccs,2219488a-a82e-4caf-8688-6cdff9b38195-ccs,ccd47f3f-0f06-44c4-acc6-49f0af28d668-ccs,860bbe8f-c43d-404c-ac75-52865de36c63-ccs,53e9fd32-30da-4acd-9822-9b777a9c0cd9-ccs,6c69c5ed-b729-4325-a487-9552f2743925-ccs,1bec8f0a-4676-4510-8101-6962eedcf8d8-ccs,b984da6d-83ae-43e5-bbb8-f384aec0246b-ccs,8751f0ae-7da6-4e62-9b37-efb2b913ddee-ccs,8be678ee-5699-4920-b319-dc18c2f55adf-ccs,92bb796e-e7e0-4325-8bcd-17643c300ef3-ccs,bb8957c0-d584-426e-b959-943bc9ae7ee2-ccs,3003c82d-6144-4512-a718-c47114425c82-ccs,16023b6b-6e0d-45da-b6ca-8204230239a4-ccs,385b9d01-76c1-4d2d-a73c-dd9dc044638f-ccs,88871874-5690-4495-ae39-fee6fba22c4f-ccs,4683bc40-c68f-406f-a586-0a71d082deca-ccs,e1e49cf9-987e-4e5c-a15a-7686fe3b379a-ccs,5c1a0997-9617-42fa-bdae-c419df38a33c-ccs,d8f4adda-c5a9-44fb-a960-57f184735a61-ccs,bd00300c-b35f-4ebd-9b86-dd62b202380d-ccs,52626510-622b-4103-870a-c2341657a3ca-ccs,22d65bf6-4715-4a46-9db0-8233304ca8ac-ccs,f4fc74e5-c296-4ea6-bc2b-a168ae1371b8-ccs,5c391c7e-e541-44da-86da-df6e624954a4-ccs,c93b5f99-66f7-4e9c-9e99-5d41757563e8-ccs,3cfc3925-5b10-4cfe-8d19-c9e37a466428-ccs,e2d6bfdc-a491-42f1-9806-1e0f76211ee0-ccs,b2df467b-03fa-4b19-9216-698afb566066-ccs,68752d3b-44c0-4309-a5f5-e78652d6e08f-ccs,90eeae24-fa86-455c-9f31-ef2d00bf17b2-ccs,174f4597-0838-4e32-8724-e4b3ef005565-ccs,c3f97fab-d766-4469-88da-498ad6aeb777-ccs,849eaca1-a178-4990-a704-9f3b533555d0-ccs,bef23c27-8d12-49c8-a467-5ac0eddeb260-ccs,6407f010-8adb-445c-96ae-2442f7cdcd29-ccs,7644e222-a81c-4ba2-9a07-4c5d1becf24b-ccs,19145333-bc16-4091-9247-9c29719dabe9-ccs,380991e1-4460-4005-bee0-5de1a12f7448-ccs,e7de406b-4f2b-4296-b944-1d0a06925cbd-ccs,8ca932d1-266a-4dbc-860a-f2cd4a1ce9a7-ccs,c949718c-9dd4-481a-b3e5-050de89a4cbc-ccs,1e565f60-f982-4702-ae46-ad21a41c435b-ccs,ea7c9637-2e74-47d2-ab0a-e1ae087d1783-ccs,457a1911-ef74-4d9d-bc35-434724fa9c99-ccs,dacfe7d9-5935-4f06-8b6a-e628f14067f6-ccs,cf66c5ec-c22a-4377-8fae-ed9432e903c4-ccs,a5060f2a-a23d-48b4-8d6b-7825b839f19e-ccs,d649382e-3a0f-467c-b365-aa05ed5e588e-ccs,978c84a6-b811-4e63-b040-ae6d9a75b366-ccs,aeda4b56-f9ee-4448-8840-c17170b984d4-ccs,9cfc3df4-4ac4-48ae-83a5-1604010111a1-ccs,201152ab-221a-4453-b9b8-efe9e7149656-ccs,bb36aece-3d87-4c95-8f9b-bc772d243dd4-ccs,44251d04-31c3-4730-9526-78e2dd85eda5-ccs,c54dae25-e7a7-48c3-9069-4906ba0dae2f-ccs,13a96ad9-7a43-4fe4-acc9-cbd040355f41-ccs,d140b932-2b0b-4074-9f40-5dd791180fa3-ccs,0b7a3d77-e08f-41f3-9d1a-732a35adb1ac-ccs,2f866cf7-4c64-4183-99e4-37ea49b6bfa3-ccs,de410a29-41d5-4c88-bf40-d40ee30522cd-ccs,1c936b13-0e11-472f-9c6d-13cdb52228c7-ccs,96fe824e-663c-4b43-8d54-6ede533d70fc-ccs,401b3d60-81b8-442d-afe4-7112af9de1bf-ccs;ON=.;CB=.
chr11	14510870	14510871	chrX	80710536	80710537	BP858	MEDIUM	-	+	RC=1;MD=0;GN=PSMA1,PSMA1P1;GI=ENSG00000129084.18,ENSG00000225715.1;GC=1,1;CL=FUSION:1;MQ=60,4.01029;MI=0.893734,0.898512;SA=0,1;BP=1;EX=1,1;IN=0,0;AC=chr11:14510870-/chrX:80710536+,chrX:80710647+/chr11:14505249-	RN=f4e0cb3f-6a2b-4222-a563-90059203ec69-ccs;ON=.;CB=.
chr11	14513814	14513815	chrX	80710318	80710319	BP859	MEDIUM	-	+	RC=5;MD=77;GN=PSMA1,PSMA1P1;GI=ENSG00000129084.18,ENSG00000225715.1;GC=5,5;CL=FUSION:5;MQ=60,10.9828;MI=0.914783,0.883409;SA=1,5;BP=5;EX=5,5;IN=0,0;AC=chr11:14513814-/chrX:80710318+,chrX:80710647+/chr11:14505249-	RN=dd2a41b7-8b2d-4574-a60b-f66009b7c795-ccs,da91b929-3f48-48ee-ada5-51cc984fac37-ccs,40bba24f-6428-4160-a28d-607b47a4e496-ccs,6d3eb68d-db76-464c-8602-2a9e87fa4a49-ccs,d50c34b4-5201-446f-956d-8fbd6b401452-ccs;ON=.;CB=.
chr11	14519906	14519907	chrX	80709963	80709964	BP861	MEDIUM	-	+	RC=8;MD=68.8;GN=PSMA1,PSMA1P1;GI=ENSG00000129084.18,ENSG00000225715.1;GC=8,8;CL=FUSION:8;MQ=60,12.9471;MI=0.896124,0.872374;SA=7,8;BP=8;EX=7,8;IN=1,0;AC=chr11:14519906-/chrX:80709963+,chrX:80710647+/chr11:14505249-	RN=b111b230-8bc4-40d1-b0c6-0e8bc40efc3c-ccs,6ed07e4d-2e47-4bfa-8381-d618d0dd02ba-ccs,1edd5a42-4b03-4e27-86b5-a258b3c59cf5-ccs,e0527947-f29b-4f3b-a35d-28eb039fa181-ccs,a8ca3e2e-aa34-41b4-851f-fd11f78a9574-ccs,60334d1c-1a9e-43d9-a7d7-cfa6714d83da-ccs,78b9de8f-93e9-4766-9c6c-d29bda7f9656-ccs,0d007a7c-5451-4a4b-a83b-ea98046c28c7-ccs;ON=.;CB=.
chr11	14519906	14519907	chrX	80710585	80710586	BP862	MEDIUM	-	+	RC=1;MD=0;GN=PSMA1,PSMA1P1;GI=ENSG00000129084.18,ENSG00000225715.1;GC=1,1;CL=FUSION:1;MQ=60,45.9245;MI=0.87395,0.909026;SA=1,1;BP=1;EX=1,1;IN=0,0;AC=chr11:14519906-/chrX:80710585+,chrX:80710647+/chr11:14505249-	RN=8aba261b-acd5-493f-ba7e-c9d7ec2d1d05-ccs;ON=.;CB=.
chr11	16483777	16483778	chr7	134442771	134442772	BP840	MEDIUM	-	-	RC=5;MD=37;GN=AKR1B1P3,AKR1B1;GI=ENSG00000213785.3,ENSG00000085662.14;GC=5,5;CL=FUSION:5;MQ=36.5457,51.4724;MI=0.858029,0.884597;SA=4,1;BP=5;EX=3,5;IN=2,0;AC=chr11:16483777-/chr7:134442771-,chr7:134459045-/chr11:16484690-	RN=1807a5c8-573e-4d80-9368-1cb742315f8f-ccs,1d24edd7-348f-4028-bc18-6024e9a31257-ccs,640e8c4c-be28-4bd3-880e-040391ba8fc5-ccs,213a5b9d-d976-4c95-a105-577cbfa9990a-ccs,834db6ae-1cab-4767-b3d1-6c3cb0f83f02-ccs;ON=.;CB=.
chr11	16974689	16974690	chrX	101395453	101395454	BP863	MEDIUM	-	+	RC=2;MD=81.5;GN=RPL36AP37,RPL36A;GI=ENSG00000244398.1,ENSG00000241343.10;GC=2,2;CL=FUSION:2;MQ=60,60;MI=0.916458,0.86314;SA=1,1;BP=2;EX=1,2;IN=1,0;AC=chr11:16974689-/chrX:101395453+	RN=4d35822d-756d-42ba-b234-95db08c87d30-ccs,0c7199bc-c22c-4ac6-8472-b0d0597ebeb9-ccs;ON=.;CB=.
chr11	18871509	18871510	chr6	151015514	151015515	BP838	MEDIUM	-	+	RC=4;MD=0.75;GN=MTHFD1L,ENSG00000255511;GI=ENSG00000120254.16,ENSG00000255511.1;GC=4,4;CL=FUSION:4;MQ=7.50027,46.342;MI=0.90161,0.92731;SA=4,1;BP=4;EX=4,4;IN=0,0;AC=chr11:18871509-/chr6:151015514+,chr6:150926278+/chr11:18871839-,chr6:150936938+/chr11:18871847-,chr6:150949132+/chr11:18871846-	RN=c104ab28-77ee-426b-aa8b-d55edc1d1b57-ccs,c740512e-6e3d-4c9b-aa34-a4edad637f44-ccs,7e557090-e6e0-474f-b3d7-d26a2e286dbf-ccs,16959716-4e4e-4280-8853-f3e50f24226f-ccs;ON=.;CB=.
chr11	18871775	18871776	chr6	151009832	151009833	BP837	MEDIUM	-	+	RC=2;MD=0;GN=ENSG00000255511,MTHFD1L;GI=ENSG00000120254.16,ENSG00000255511.1;GC=2,2;CL=FUSION:2;MQ=8.47448,32.9828;MI=0.95768,0.950799;SA=2,2;BP=2;EX=2,2;IN=0,0;AC=chr11:18871775-/chr6:151009832+,chr6:150960411+/chr11:18871842-	RN=8af4885e-e7fb-4d62-afbd-c606ac802afd-ccs,0ce5c07f-9a07-49f7-950b-fb91120409f3-ccs;ON=.;CB=.
chr11	34890524	34890525	chr9	107117013	107117014	BP843	MEDIUM	-	+	RC=1;MD=0;GN=APIP,ENSG00000225531;GI=ENSG00000149089.13,ENSG00000225531.1;GC=1,1;CL=FUSION:1;MQ=60,60;MI=0.913607,0.902338;SA=0,1;BP=1;EX=0,0;IN=1,0;AC=chr11:34890524-/chr9:107117013+	RN=858d658f-576d-4000-bd1c-60d9b58b22a2-ccs;ON=.;CB=.
chr11	34916298	34916299	chr9	107116782	107116783	BP844	MEDIUM	-	+	RC=2;MD=15.8;GN=APIP,ENSG00000225531;GI=ENSG00000149089.13,ENSG00000225531.1;GC=2,2;CL=FUSION:2;MQ=54.3714,60;MI=0.888407,0.872468;SA=2,0;BP=2;EX=1,0;IN=0,0;AC=chr11:34916298-/chr9:107116782+	RN=54be6f15-a21a-4644-93c9-e3fc40bcb973-ccs,7b503510-89b8-4e21-bc1d-6bea3298f1a2-ccs;ON=.;CB=.
chr11	36510046	36510047	chr10	59138050	59138051	BP845	MEDIUM	-	-	RC=4;MD=83;GN=TRAF6,TRAF6P1;GI=ENSG00000175104.15,ENSG00000226557.1;GC=4,4;CL=FUSION:4;MQ=60,26.0294;MI=0.914616,0.864464;SA=4,3;BP=4;EX=4,3;IN=0,0;AC=chr10:59136730-/chr11:36489944-,chr10:59137428-/chr11:36490651-,chr11:36510046-/chr10:59138050-	RN=d6a8b93b-0859-4d50-99a1-154ea43455af-ccs,623c711e-32a4-458b-ba6f-a6719c58b9f3-ccs,48327696-4d74-41cb-a30f-19726d374091-ccs,2a9f7ae4-3a2b-4f88-96d3-4430358007a8-ccs;ON=.;CB=.
chr11	47426203	47426204	chr9	19027744	19027745	BP846	MEDIUM	-	+	RC=2;MD=55.5;GN=PSMC3,ENSG00000236680;GI=ENSG00000165916.9,ENSG00000236680.1;GC=2,2;CL=FUSION:2;MQ=60,5.7712;MI=0.920192,0.882978;SA=1,1;BP=2;EX=2,1;IN=0,0;AC=chr11:47426203-/chr9:19027744+,chr9:19028120+/chr11:47418846-	RN=f381d80b-991e-42e9-8256-7ad7d354e2f3-ccs,a1b307c2-8aa4-4c21-9d90-b314d28195eb-ccs;ON=.;CB=.
chr11	47426231	47426232	chr9	19026889	19026890	BP845	MEDIUM	-	+	RC=1;MD=0;GN=PSMC3,ENSG00000236680;GI=ENSG00000165916.9,ENSG00000236680.1;GC=1,1;CL=FUSION:1;MQ=22,17;MI=0.880597,0.860647;SA=1,0;BP=1;EX=1,1;IN=0,0;AC=chr11:47426231-/chr9:19026889+	RN=619463a8-2bb6-4562-83e2-a121a12fe7b9-ccs;ON=.;CB=.
chr11	49433431	49433432	chr1	9582541	9582542	BP828	MEDIUM	-	+	RC=11;MD=34.4;GN=ENSG00000226268,SLC25A33;GI=ENSG00000226268.3,ENSG00000171612.7;GC=11,11;CL=FUSION:11;MQ=60,60;MI=0.880844,0.887781;SA=1,11;BP=11;EX=2,11;IN=0,0;AC=chr1:9573411+/chr11:49433955-,chr11:49433431-/chr1:9582541+	RN=0cc85ee7-c6d3-4c89-936b-e09dea975a7f-ccs,e323fe56-77a4-4394-ab48-e065f41b51ed-ccs,aacbb7ba-ea23-4ec8-8d3e-0d7ce34d4a0c-ccs,31b443a8-c59f-4e79-8b92-b0ddd33a94ca-ccs,1ee6e68b-777d-488c-a247-a0eb147aae02-ccs,b680d86e-ee58-4c66-83b0-c728922a5d0d-ccs,9dc588e9-3ded-4f80-9867-851f51fde71b-ccs,78ac2766-b050-4523-a6c1-652951999c4f-ccs,474b3e3d-b326-4c12-b2be-40e0a0c37b38-ccs,893ae328-13a2-40eb-8d93-1bc893f93875-ccs,b5daeb59-06ba-4798-a6cf-5da2ef18c56c-ccs;ON=.;CB=.
